id,period,morning_vigilance
1,Baseline,79
2,Baseline,71
3,Baseline,81
4,Baseline,71
5,Baseline,57
6,Baseline,81
7,Baseline,58
8,Baseline,85
9,Baseline,76
10,Baseline,78
11,Baseline,52
1,Fno,54
2,Fno,49
3,Fno,59
4,Fno,62
5,Fno,56
6,Fno,68
7,Fno,72
8,Fno,5
9,Fno,94
10,Fno,47
11,Fno,18
1,Fnap,42
2,Fnap,48
3,Fnap,52
4,Fnap,52
5,Fnap,8
6,Fnap,59
7,Fnap,86
8,Fnap,31
9,Fnap,40
10,Fnap,31
11,Fnap,24
1,nap,74
2,nap,53
3,nap,74
4,nap,68
5,nap,63
6,nap,82
7,nap,63
8,nap,68
9,nap,80
10,nap,75
11,nap,37
